invoice_id,customer,amount,currency,issued,due,status,risk_flag,review_code,resolution_amount,resolution_flag,resolution_note
INV-201,Acme Manufacturing,15800.00,USD,2024-05-13,2024-06-12,paid,low,RVW-01,,,
INV-202,Globex Retail,"USD 9,100.75",USD,2024-05-14,2024-06-13,paid,medium,RVW-02,,,
INV-203,Initech Systems,TBD // validated,EUR,2024-05-15,2024-06-14,pending,high,RVW-09,30980.00,approved,pricing addendum confirmed
INV-204,Umbrella Bio,-1200.00,USD,2024-05-16,2024-06-15,refund,high,RVW-12,,,
INV-205,Soylent Foods,complimentary   💡,EUR,2024-05-17,2024-06-16,active,medium,RVW-07,2350.00,approved,partner support seats converted to a billed package
INV-206,Acme Manufacturing,free   trial,USD,18/05/2024,17/06/2024,active,high,RVW-15,6400.00,approved,plant rollout moved the trial into a paid rollout phase
INV-207,Globex Retail,8800.00,USD,2024-05-19,2024-06-18,paid,low,RVW-03,,,
INV-208,Initech Systems,error 😵 but approved,EUR,2024-05-20,2024-06-19,review,critical,RVW-20,3180.00,approved,analyst replay recovered net charge
INV-209,Umbrella Bio,9999999,USD,2024-05-21,2024-06-20,escalated,critical,RVW-21,,,
INV-210,Soylent Foods,TRIAL FREE,USD,2024-05-22,2024-06-21,active,low,RVW-05,4100.00,approved,trial usage converted to a paid pilot invoice
INV-211,Acme Manufacturing,"$4,225.10",USD,2024-05-23,2024-06-22,paid,low,RVW-06,,,
INV-214,Umbrella Bio,MANUAL ONLY 🧾,USD,2024-05-26,2024-06-25,disputed,critical,RVW-25,,,
INV-215,Adventure Works,ERROR -- cleared,EUR,2024-08-31,2024-09-30,review,high,RVW-31,2715.00,approved,manual exception was cleared by the review board
INV-216,Lucerne Publishing,TBD // committee approved,GBP,2024-09-01,2024-10-01,pending,medium,RVW-32,9180.00,approved,committee approved the pending renewal amount
INV-217,Consolidated Messenger,free-trial,USD,2024-09-02,2024-10-02,active,medium,RVW-33,3760.00,approved,free trial converted into a recurring courier plan
INV-218,Fourth Coffee,complimentary ✅,USD,2024-09-03,2024-10-03,active,low,RVW-34,2105.00,approved,complimentary launch credits were converted to a paid package
INV-219,Proseware,ATTACH CALL LOG 📞,EUR,2024-09-17,2024-10-17,review,critical,RVW-35,,,
