invoice_id,customer,amount,currency,issued,due,status,resolution_amount,resolution_flag,resolution_note
INV-101,Acme Manufacturing,15000.00,USD,2024-01-15,2024-02-14,paid,,,
INV-102,Globex Retail,"$8,500.50",USD,2024-01-18,2024-02-17,paid,,,
INV-103,Initech Systems,22000.00,EUR,2024-01-20,2024-03-20,overdue,,,
INV-104,Umbrella Bio,-500.00,USD,2024-02-20,2024-03-21,refund,,,
INV-105,Soylent Foods,FREE   TRIAL 🎁,USD,2024-03-15,2024-04-14,active,7800.00,approved,trial converted to annual starter contract
INV-106,Acme Manufacturing,N/A // board-approved,USD,2024-03-18,2024-04-17,disputed,15420.00,approved,credit committee reinstated partial amount
INV-107,Blue Yonder,"USD 9,200.00",USD,07/02/2024,2024-03-08,overdue,,,
INV-108,Initech Systems, pending  ✅ ,EUR,2024-03-20,2024-04-19,pending,21450.00,approved,po matched after queue release
INV-109,Umbrella Bio,complimentary ✨,USD,2024-04-01,2024-05-01,active,1425.00,approved,onboarding credit reclassified to billed setup fee
INV-110,Northwind Labs,TBD   // ready,USD,2024-04-02,2024-05-02,review,12950.00,approved,ops approved the reviewed amount
INV-111,Acme Manufacturing,"CHF 4,100.00",CHF,2024-04-25,2024-05-25,paid,,,
INV-112,Fabrikam GmbH,SEE PDF 📎,EUR,2024-04-10,2024-05-10,review,,,
INV-113,Contoso Retail,PRO FORMA 🧾,GBP,2024-04-11,2024-05-11,review,3050.00,approved,pro forma invoice converted after finance sign-off
INV-114,Tailspin Energy,TRIAL FREE,USD,2024-08-27,2024-09-26,active,5120.00,approved,trial converted after procurement sign-off
INV-115,Humongous Insurance,COMPLIMENTARY ✅,USD,2024-08-28,2024-09-27,active,2890.00,approved,goodwill credit converted to a billed advisory fee
INV-116,Alpine Ski House,PRO-FORMA 📄,GBP,2024-08-29,2024-09-28,review,7340.50,approved,pro forma invoice was confirmed by finance
INV-117,Coho Winery,N/A // legal cleared,USD,2024-08-30,2024-09-29,disputed,4860.00,approved,legal review restored the disputed invoice amount
INV-118,Graphic Design Institute,VOICE NOTE ONLY 🎙,USD,2024-09-16,2024-10-16,review,,,
