invoice_id,customer,amount,currency,issued,due,status,region,business_unit,tax_zone,resolution_amount,resolution_flag,resolution_note
INV-301,Northwind Labs,12500.00,USD,2024-06-13,2024-07-13,paid,NA,Diagnostics,TX-NA,,,
INV-302,Blue Yonder,14250.60,USD,2024-06-14,2024-07-14,paid,NA,Logistics,TX-NA,,,
INV-303,Fabrikam GmbH,"EUR 18,900.00",EUR,2024-06-15,2024-07-15,overdue,EMEA,Cloud,TX-EU,,,
INV-304,Contoso Retail,FREE-TRIAL 🎉,GBP,2024-06-16,2024-07-16,active,EMEA,Retail,TX-UK,4575.25,approved,retail pilot converted to a standard regional invoice
INV-305,Wide World Importers,8500.00,AUD,2024-06-17,2024-07-17,paid,APAC,Wholesale,TX-AU,,,
INV-306,Northwind Labs,N/A -- reviewed,USD,2024-06-18,2024-07-18,review,NA,Diagnostics,TX-NA,12950.00,approved,regional ledger supplied base amount
INV-307,Blue Yonder,pending // treasury ok,USD,2024-06-19,2024-07-19,pending,NA,Logistics,TX-NA,14110.00,approved,treasury approved the backlog release
INV-308,Fabrikam GmbH,TRIAL FREE,EUR,2024-06-20,2024-07-20,active,EMEA,Cloud,TX-EU,12680.00,approved,cloud evaluation converted after security sign-off
INV-309,Contoso Retail,"£4,410.15",GBP,21/06/2024,21/07/2024,paid,EMEA,Retail,TX-UK,,,
INV-310,Wide World Importers,COMPLIMENTARY ✅,AUD,2024-06-22,2024-07-22,active,APAC,Wholesale,TX-AU,2750.00,approved,intro shipment converted to a billed pilot order
INV-311,Northwind Labs,12999.95,USD,2024-06-23,2024-07-23,paid,NA,Diagnostics,TX-NA,,,
INV-312,Blue Yonder,CHARGEBACK ⚠,USD,2024-06-24,2024-07-24,disputed,NA,Logistics,TX-NA,,,
INV-313,A Datum,PRO FORMA,GBP,2024-09-04,2024-10-04,review,EMEA,Advisory,TX-UK,6540.00,approved,regional pro forma invoice was approved for export
INV-314,Margies Travel,FREE-TRIAL 🎉,USD,2024-09-05,2024-10-05,active,NA,Travel,TX-NA,5985.25,approved,trial booking window converted to a paid support plan
INV-315,Relecloud,pending // tax cleared,EUR,2024-09-06,2024-10-06,pending,EMEA,Cloud,TX-EU,11240.00,approved,tax validation released the pending cloud invoice
INV-316,Southridge Video,COMPLIMENTARY ✅,AUD,2024-09-07,2024-10-07,active,APAC,Media,TX-AU,1995.00,approved,regional promo credits converted to a billed media package
INV-317,City Power and Light,LEDGER IMAGE ONLY 🖼,EUR,2024-09-18,2024-10-18,review,EMEA,Utilities,TX-EU,,,
